Kudos Date,Kudos Type,Parent ID
"Jul 4, 2020, 8:59:39 PM",Activity,3713027311
"Jul 4, 2020, 8:59:49 PM",Activity,3712837146
"Jul 6, 2020, 12:36:55 PM",Activity,3717943727
"Jul 6, 2020, 7:24:13 PM",Activity,3723212109
"Jul 7, 2020, 12:19:33 PM",Activity,3726341699
"Jul 7, 2020, 4:46:39 PM",Activity,3727346001
"Jul 7, 2020, 8:07:39 PM",Activity,3728435273
"Jul 7, 2020, 8:07:48 PM",Activity,3727931579
"Jul 7, 2020, 8:07:51 PM",Activity,3728472531
"Jul 7, 2020, 8:07:56 PM",Activity,3727446666
"Jul 9, 2020, 2:00:48 AM",Activity,3734378722
"Jul 9, 2020, 11:35:44 PM",Activity,3738827109
"Jul 9, 2020, 11:35:57 PM",Activity,3737934913
"Jul 10, 2020, 5:19:29 PM",Activity,3740686324
"Jul 11, 2020, 6:20:37 PM",Activity,3747092114
"Jul 12, 2020, 4:57:45 PM",Activity,3751595763
"Jul 13, 2020, 12:30:47 AM",Activity,3753999998
"Jul 13, 2020, 12:30:49 AM",Activity,3754009171
"Jul 13, 2020, 9:16:55 PM",Activity,3757341190
"Jul 15, 2020, 8:27:36 PM",Activity,3767127117
"Jul 16, 2020, 2:10:53 PM",Activity,3768411095
"Jul 16, 2020, 2:13:58 PM",Activity,3767084865
"Jul 17, 2020, 1:00:10 PM",Activity,3774905876
"Jul 25, 2020, 12:07:56 AM",Activity,3808531559
"Jul 26, 2020, 6:08:43 PM",Activity,3815396668
"Jul 29, 2020, 3:36:02 PM",Activity,3832594738
"Jul 29, 2020, 3:36:09 PM",Activity,3830610873
